2560, 0.7, 1280, 0.7, layer3, layer4, correct/90, accuracy, loss
2560, 0.7, 1280, 0.7, 1000, 1600, 53, 58.8888888889, 97.0
2560, 0.7, 1280, 0.7, 1000, 1600, 52, 57.7777777778, 109.0
2560, 0.7, 1280, 0.7, 1000, 1900, 50, 55.5555555556, 96.0
2560, 0.7, 1280, 0.7, 1000, 1900, 53, 58.8888888889, 91.0
2560, 0.7, 1280, 0.7, 1000, 1900, 50, 55.5555555556, 96.0
2560, 0.7, 1280, 0.7, 1300, 100, 50, 55.5555555556, 121.0
2560, 0.7, 1280, 0.7, 1300, 100, 47, 52.2222222222, 134.0
2560, 0.7, 1280, 0.7, 1300, 100, 47, 52.2222222222, 134.0
2560, 0.7, 1280, 0.7, 1300, 400, 52, 57.7777777778, 115.0
2560, 0.7, 1280, 0.7, 1300, 400, 57, 63.3333333333, 94.0
2560, 0.7, 1280, 0.7, 1300, 400, 48, 53.3333333333, 117.0
2560, 0.7, 1280, 0.7, 1300, 700, 55, 61.1111111111, 92.0
2560, 0.7, 1280, 0.7, 1300, 700, 51, 56.6666666667, 110.0
2560, 0.7, 1280, 0.7, 1300, 700, 47, 52.2222222222, 148.0
2560, 0.7, 1280, 0.7, 1300, 1000, 55, 61.1111111111, 106.0
2560, 0.7, 1280, 0.7, 1300, 1000, 53, 58.8888888889, 108.0
2560, 0.7, 1280, 0.7, 1300, 1000, 48, 53.3333333333, 145.0
2560, 0.7, 1280, 0.7, 1300, 1300, 47, 52.2222222222, 147.0
2560, 0.7, 1280, 0.7, 1300, 1300, 50, 55.5555555556, 125.0
2560, 0.7, 1280, 0.7, 1300, 1300, 51, 56.6666666667, 116.0
2560, 0.7, 1280, 0.7, 1300, 1600, 56, 62.2222222222, 98.0
2560, 0.7, 1280, 0.7, 1300, 1600, 51, 56.6666666667, 110.0
2560, 0.7, 1280, 0.7, 1300, 1600, 53, 58.8888888889, 103.0
2560, 0.7, 1280, 0.7, 1300, 1900, 48, 53.3333333333, 147.0
2560, 0.7, 1280, 0.7, 1300, 1900, 46, 51.1111111111, 141.0
2560, 0.7, 1280, 0.7, 1300, 1900, 48, 53.3333333333, 120.0
2560, 0.7, 1280, 0.7, 1600, 100, 44, 48.8888888889, 154.0
2560, 0.7, 1280, 0.7, 1600, 100, 52, 57.7777777778, 123.0
2560, 0.7, 1280, 0.7, 1600, 100, 49, 54.4444444444, 120.0
2560, 0.7, 1280, 0.7, 1600, 400, 53, 58.8888888889, 113.0
2560, 0.7, 1280, 0.7, 1600, 400, 52, 57.7777777778, 110.0
2560, 0.7, 1280, 0.7, 1600, 400, 52, 57.7777777778, 110.0
2560, 0.7, 1280, 0.7, 1600, 700, 50, 55.5555555556, 110.0
2560, 0.7, 1280, 0.7, 1600, 700, 51, 56.6666666667, 108.0
2560, 0.7, 1280, 0.7, 1600, 700, 48, 53.3333333333, 145.0
2560, 0.7, 1280, 0.7, 1600, 1000, 53, 58.8888888889, 114.0
